,Fp1[1],Fp2[2],F3[3],F4[4],C3[5],C4[6],P3[7],P4[8],O1[9],O2[10],F7[11],F8[12],T3[13],T4[14],T5[15],T6[16],Fz[17],Pz[18],Cz[19],Pg1[20],Pg2[21],EOGR[22],EOOGL[23],EMG[24]
6577,-144.68253968253967,1.984126984126984,8.333333333333332,-16.11111111111111,7.3809523809523805,-7.857142857142857,-1.6666666666666665,-7.222222222222221,-5.317460317460317,-12.46031746031746,-2.3015873015873014,0.5555555555555556,5.317460317460317,-1.349206349206349,-0.07936507936507936,3.73015873015873,9.603174603174603,-9.920634920634921,-3.253968253968254,-1.984126984126984,-4.523809523809524,-0.23809523809523808,0.5555555555555556,-321.8253968253968
6578,-142.3015873015873,5.634920634920634,11.507936507936508,-13.412698412698411,9.761904761904761,-4.523809523809524,-0.5555555555555556,-6.428571428571428,-2.619047619047619,-12.46031746031746,2.142857142857143,2.9365079365079363,8.333333333333332,-0.3968253968253968,2.3015873015873014,1.1904761904761905,12.619047619047619,-7.857142857142857,-2.142857142857143,4.841269841269841,-3.095238095238095,0.07936507936507936,-0.07936507936507936,-321.8253968253968
6579,-142.3015873015873,5.634920634920634,11.507936507936508,-13.412698412698411,9.761904761904761,-4.523809523809524,-0.5555555555555556,-6.428571428571428,-2.619047619047619,-12.46031746031746,2.142857142857143,2.9365079365079363,8.333333333333332,-0.3968253968253968,2.3015873015873014,1.1904761904761905,12.619047619047619,-7.857142857142857,-2.142857142857143,4.841269841269841,-3.095238095238095,0.07936507936507936,-0.07936507936507936,-321.8253968253968
6580,-138.015873015873,7.3809523809523805,3.73015873015873,-10.555555555555555,3.095238095238095,-2.7777777777777777,-7.063492063492063,-6.587301587301587,-5.476190476190476,-11.984126984126984,-2.46031746031746,1.984126984126984,1.1904761904761905,-1.8253968253968254,-1.0317460317460316,-6.746031746031746,4.841269841269841,-8.65079365079365,-6.428571428571428,8.65079365079365,0.873015873015873,-0.873015873015873,-0.07936507936507936,-166.26984126984127
6581,-138.015873015873,7.3809523809523805,3.73015873015873,-10.555555555555555,3.095238095238095,-2.7777777777777777,-7.063492063492063,-6.587301587301587,-5.476190476190476,-11.984126984126984,-2.46031746031746,1.984126984126984,1.1904761904761905,-1.8253968253968254,-1.0317460317460316,-6.746031746031746,4.841269841269841,-8.65079365079365,-6.428571428571428,8.65079365079365,0.873015873015873,-0.873015873015873,-0.07936507936507936,-166.26984126984127
6582,-135.79365079365078,6.746031746031746,1.0317460317460316,-6.904761904761904,4.365079365079365,1.8253968253968254,-2.142857142857143,-1.349206349206349,-0.07936507936507936,-11.031746031746032,-4.2063492063492065,6.26984126984127,4.523809523809524,2.46031746031746,3.888888888888889,1.8253968253968254,4.841269841269841,-2.9365079365079363,-1.1904761904761905,3.888888888888889,-11.031746031746032,-0.7142857142857142,0.23809523809523808,-166.26984126984127
6583,-135.79365079365078,6.746031746031746,1.0317460317460316,-6.904761904761904,4.365079365079365,1.8253968253968254,-2.142857142857143,-1.349206349206349,-0.07936507936507936,-11.031746031746032,-4.2063492063492065,6.26984126984127,4.523809523809524,2.46031746031746,3.888888888888889,1.8253968253968254,4.841269841269841,-2.9365079365079363,-1.1904761904761905,3.888888888888889,-11.031746031746032,-0.7142857142857142,0.23809523809523808,-166.26984126984127
6584,-133.4126984126984,4.365079365079365,5.7936507936507935,-3.888888888888889,6.904761904761904,1.1904761904761905,0.23809523809523808,-1.349206349206349,2.9365079365079363,-16.746031746031743,-3.095238095238095,5.476190476190476,4.841269841269841,2.9365079365079363,3.73015873015873,-0.7142857142857142,9.444444444444445,-3.095238095238095,0.23809523809523808,6.746031746031746,-6.111111111111111,-0.3968253968253968,-0.5555555555555556,-166.26984126984127
6585,-133.4126984126984,4.365079365079365,5.7936507936507935,-3.888888888888889,6.904761904761904,1.1904761904761905,0.23809523809523808,-1.349206349206349,2.9365079365079363,-16.746031746031743,-3.095238095238095,5.476190476190476,4.841269841269841,2.9365079365079363,3.73015873015873,-0.7142857142857142,9.444444444444445,-3.095238095238095,0.23809523809523808,6.746031746031746,-6.111111111111111,-0.3968253968253968,-0.5555555555555556,-166.26984126984127
6586,-129.76190476190476,4.841269841269841,7.3809523809523805,-5.7936507936507935,5.476190476190476,-2.46031746031746,-1.0317460317460316,-0.7142857142857142,4.2063492063492065,-15.317460317460316,-3.888888888888889,3.4126984126984126,4.523809523809524,2.3015873015873014,3.253968253968254,-4.523809523809524,8.809523809523808,-2.7777777777777777,0.3968253968253968,0.5555555555555556,-4.365079365079365,0.07936507936507936,-1.0317460317460316,-166.26984126984127
